officer_id,name,rank,badge_number,station,district_id,is_active,roles,created_at,updated_at,created_by,updated_by
OFF-0027,Odika Bath,SUB_INSPECTOR,KSP-27-0027,Udupi Police Station 1,42963000000035038,true,INVESTIGATOR,2026-07-15 14:36:44,2026-07-15 14:36:44,SYSTEM_SEED,SYSTEM_SEED
OFF-0028,Gopalakrishna Nayak,SUB_INSPECTOR,KSP-28-0028,Uttara Kannada Police Station 3,42963000000035039,true,INVESTIGATOR,2026-07-15 14:36:44,2026-07-15 14:36:44,SYSTEM_SEED,SYSTEM_SEED
OFF-0029,Madhav Babu,SUB_INSPECTOR,KSP-HQ-0029,State Police HQ,,true,ANALYST,2026-07-15 14:36:44,2026-07-15 14:36:44,SYSTEM_SEED,SYSTEM_SEED
OFF-0030,Omisha Merchant,CIRCLE_INSPECTOR,KSP-30-0030,Yadgir Police Station 1,42963000000035041,true,INVESTIGATOR,2026-07-15 14:36:44,2026-07-15 14:36:44,SYSTEM_SEED,SYSTEM_SEED
OFF-0031,Rohan Narayan,CIRCLE_INSPECTOR,KSP-31-0031,Vijayanagara Police Station 2,42963000000035042,true,INVESTIGATOR,2026-07-15 14:36:44,2026-07-15 14:36:44,SYSTEM_SEED,SYSTEM_SEED
OFF-0032,Ravindranath Shetty,CIRCLE_INSPECTOR,KSP-01-0032,Bagalkot Police Station 5,42963000000035012,true,INVESTIGATOR,2026-07-15 14:36:44,2026-07-15 14:36:44,SYSTEM_SEED,SYSTEM_SEED
OFF-0033,Nagaveni Nayak,SUB_INSPECTOR,KSP-02-0033,Ballari Police Station 3,42963000000035013,true,INVESTIGATOR,2026-07-15 14:36:44,2026-07-15 14:36:44,SYSTEM_SEED,SYSTEM_SEED
OFF-0034,Veeranna Hegde,SUB_INSPECTOR,KSP-03-0034,Belagavi Police Station 5,42963000000035014,true,INVESTIGATOR,2026-07-15 14:36:44,2026-07-15 14:36:44,SYSTEM_SEED,SYSTEM_SEED
OFF-0035,Ladli Korpal,SUB_INSPECTOR,KSP-HQ-0035,State Police HQ,,true,SUPERVISOR,2026-07-15 14:36:44,2026-07-15 14:36:44,SYSTEM_SEED,SYSTEM_SEED
OFF-0036,Geetika Kurian,CIRCLE_INSPECTOR,KSP-05-0036,Bengaluru Urban Police Station 3,42963000000035016,true,INVESTIGATOR,2026-07-15 14:36:44,2026-07-15 14:36:44,SYSTEM_SEED,SYSTEM_SEED
OFF-0037,Yallappa Achar,INSPECTOR,KSP-HQ-0037,State Police HQ,,true,ANALYST,2026-07-15 14:36:44,2026-07-15 14:36:44,SYSTEM_SEED,SYSTEM_SEED
OFF-0038,Girijamma Rai,DEPUTY_SUPERINTENDENT,KSP-07-0038,Chamarajanagar Police Station 1,42963000000035018,true,INVESTIGATOR,2026-07-15 14:36:44,2026-07-15 14:36:44,SYSTEM_SEED,SYSTEM_SEED
OFF-0039,Pushpalatha Nayak,SUB_INSPECTOR,KSP-08-0039,Chikballapur Police Station 1,42963000000035019,true,INVESTIGATOR,2026-07-15 14:36:44,2026-07-15 14:36:44,SYSTEM_SEED,SYSTEM_SEED
OFF-0040,Kariyappa Reddy,DEPUTY_SUPERINTENDENT,KSP-09-0040,Chikkamagaluru Police Station 2,42963000000035020,true,INVESTIGATOR,2026-07-15 14:36:44,2026-07-15 14:36:44,SYSTEM_SEED,SYSTEM_SEED
OFF-0041,Vritti Sharma,DEPUTY_SUPERINTENDENT,KSP-10-0041,Chitradurga Police Station 5,42963000000035021,true,INVESTIGATOR,2026-07-15 14:36:44,2026-07-15 14:36:44,SYSTEM_SEED,SYSTEM_SEED
OFF-0042,Bhagyalakshmi Kulkarni,INSPECTOR,KSP-11-0042,Dakshina Kannada Police Station 5,42963000000035022,true,INVESTIGATOR,2026-07-15 14:36:44,2026-07-15 14:36:44,SYSTEM_SEED,SYSTEM_SEED
OFF-0043,Parvatamma Achar,INSPECTOR,KSP-HQ-0043,State Police HQ,,true,ANALYST,2026-07-15 14:36:44,2026-07-15 14:36:44,SYSTEM_SEED,SYSTEM_SEED
OFF-0044,Indira Gara,DEPUTY_SUPERINTENDENT,KSP-13-0044,Dharwad Police Station 1,42963000000035024,true,INVESTIGATOR,2026-07-15 14:36:44,2026-07-15 14:36:44,SYSTEM_SEED,SYSTEM_SEED
OFF-0045,Vrinda Gour,DEPUTY_SUPERINTENDENT,KSP-14-0045,Gadag Police Station 4,42963000000035025,true,INVESTIGATOR,2026-07-15 14:36:44,2026-07-15 14:36:44,SYSTEM_SEED,SYSTEM_SEED
OFF-0046,Siddalingaiah Naik,CIRCLE_INSPECTOR,KSP-15-0046,Hassan Police Station 3,42963000000035026,true,INVESTIGATOR,2026-07-15 14:36:44,2026-07-15 14:36:44,SYSTEM_SEED,SYSTEM_SEED
OFF-0047,Bhagyalakshmi Setty,CIRCLE_INSPECTOR,KSP-16-0047,Haveri Police Station 4,42963000000035027,true,INVESTIGATOR,2026-07-15 14:36:44,2026-07-15 14:36:44,SYSTEM_SEED,SYSTEM_SEED
OFF-0048,Bahadurjit Borde,SUB_INSPECTOR,KSP-17-0048,Kalaburagi Police Station 4,42963000000035028,true,INVESTIGATOR,2026-07-15 14:36:44,2026-07-15 14:36:44,SYSTEM_SEED,SYSTEM_SEED
OFF-0049,Pushpalatha Devadiga,INSPECTOR,KSP-18-0049,Kodagu Police Station 3,42963000000035029,true,INVESTIGATOR,2026-07-15 14:36:44,2026-07-15 14:36:44,SYSTEM_SEED,SYSTEM_SEED
OFF-0050,Abeer Sachar,INSPECTOR,KSP-19-0050,Kolar Police Station 5,42963000000035030,true,INVESTIGATOR,2026-07-15 14:36:44,2026-07-15 14:36:44,SYSTEM_SEED,SYSTEM_SEED
OFF-0051,Lokesh Rai,SUB_INSPECTOR,KSP-20-0051,Koppal Police Station 3,42963000000035031,true,INVESTIGATOR,2026-07-15 14:36:44,2026-07-15 14:36:44,SYSTEM_SEED,SYSTEM_SEED
OFF-0052,Vihaan Bir,DEPUTY_SUPERINTENDENT,KSP-HQ-0052,State Police HQ,,true,POLICYMAKER,2026-07-15 14:36:44,2026-07-15 14:36:44,SYSTEM_SEED,SYSTEM_SEED
OFF-0053,Aditya Kamdar,INSPECTOR,KSP-HQ-0053,State Police HQ,,true,POLICYMAKER,2026-07-15 14:36:44,2026-07-15 14:36:44,SYSTEM_SEED,SYSTEM_SEED
OFF-0054,Pushpalatha Reddy,SUB_INSPECTOR,KSP-23-0054,Raichur Police Station 3,42963000000035034,true,INVESTIGATOR,2026-07-15 14:36:44,2026-07-15 14:36:44,SYSTEM_SEED,SYSTEM_SEED
OFF-0055,Vasanthamma Reddy,DEPUTY_SUPERINTENDENT,KSP-24-0055,Ramanagara Police Station 5,42963000000035035,true,INVESTIGATOR,2026-07-15 14:36:44,2026-07-15 14:36:44,SYSTEM_SEED,SYSTEM_SEED
OFF-0056,Kashvi Bhasin,INSPECTOR,KSP-25-0056,Shivamogga Police Station 2,42963000000035036,true,INVESTIGATOR,2026-07-15 14:36:44,2026-07-15 14:36:44,SYSTEM_SEED,SYSTEM_SEED
OFF-0057,Vinaya Babu,SUB_INSPECTOR,KSP-26-0057,Tumakuru Police Station 5,42963000000035037,true,INVESTIGATOR,2026-07-15 14:36:44,2026-07-15 14:36:44,SYSTEM_SEED,SYSTEM_SEED
OFF-0058,Nisha Arora,SUB_INSPECTOR,KSP-27-0058,Udupi Police Station 5,42963000000035038,true,SUPERVISOR,2026-07-15 14:36:44,2026-07-15 14:36:44,SYSTEM_SEED,SYSTEM_SEED
OFF-0059,Anvi Wason,CIRCLE_INSPECTOR,KSP-28-0059,Uttara Kannada Police Station 5,42963000000035039,true,SUPERVISOR,2026-07-15 14:36:44,2026-07-15 14:36:44,SYSTEM_SEED,SYSTEM_SEED
OFF-0060,Nagaveni Naik,CIRCLE_INSPECTOR,KSP-29-0060,Vijayapura Police Station 4,42963000000035040,true,INVESTIGATOR,2026-07-15 14:36:44,2026-07-15 14:36:44,SYSTEM_SEED,SYSTEM_SEED
OFF-0061,Lokesh Nayak,DEPUTY_SUPERINTENDENT,KSP-HQ-0061,State Police HQ,,true,ANALYST,2026-07-15 14:36:44,2026-07-15 14:36:44,SYSTEM_SEED,SYSTEM_SEED
OFF-0062,Anay Thakkar,SUB_INSPECTOR,KSP-31-0062,Vijayanagara Police Station 1,42963000000035042,true,INVESTIGATOR,2026-07-15 14:36:44,2026-07-15 14:36:44,SYSTEM_SEED,SYSTEM_SEED
OFF-0063,Nagaraj Achar,SUB_INSPECTOR,KSP-01-0063,Bagalkot Police Station 2,42963000000035012,true,INVESTIGATOR,2026-07-15 14:36:44,2026-07-15 14:36:44,SYSTEM_SEED,SYSTEM_SEED
OFF-0064,Praneel Chhabra,DEPUTY_SUPERINTENDENT,KSP-02-0064,Ballari Police Station 5,42963000000035013,true,INVESTIGATOR,2026-07-15 14:36:44,2026-07-15 14:36:44,SYSTEM_SEED,SYSTEM_SEED
OFF-0065,Girijamma Achar,DEPUTY_SUPERINTENDENT,KSP-03-0065,Belagavi Police Station 2,42963000000035014,true,INVESTIGATOR,2026-07-15 14:36:44,2026-07-15 14:36:44,SYSTEM_SEED,SYSTEM_SEED
OFF-0066,Akkamahadevi Shetty,CIRCLE_INSPECTOR,KSP-04-0066,Bengaluru Rural Police Station 4,42963000000035015,true,INVESTIGATOR,2026-07-15 14:36:44,2026-07-15 14:36:44,SYSTEM_SEED,SYSTEM_SEED
OFF-0067,Manthan Khosla,CIRCLE_INSPECTOR,KSP-05-0067,Bengaluru Urban Police Station 1,42963000000035016,true,INVESTIGATOR,2026-07-15 14:36:44,2026-07-15 14:36:44,SYSTEM_SEED,SYSTEM_SEED
OFF-0068,Zayyan Pandya,DEPUTY_SUPERINTENDENT,KSP-06-0068,Bidar Police Station 2,42963000000035017,true,INVESTIGATOR,2026-07-15 14:36:44,2026-07-15 14:36:44,SYSTEM_SEED,SYSTEM_SEED
OFF-0069,Mekhala Brar,SUB_INSPECTOR,KSP-HQ-0069,State Police HQ,,true,ANALYST,2026-07-15 14:36:44,2026-07-15 14:36:44,SYSTEM_SEED,SYSTEM_SEED
OFF-0070,Nidra Sharaf,SUB_INSPECTOR,KSP-08-0070,Chikballapur Police Station 1,42963000000035019,true,INVESTIGATOR,2026-07-15 14:36:44,2026-07-15 14:36:44,SYSTEM_SEED,SYSTEM_SEED
OFF-0071,Upkaar Mital,CIRCLE_INSPECTOR,KSP-HQ-0071,State Police HQ,,true,ANALYST,2026-07-15 14:36:44,2026-07-15 14:36:44,SYSTEM_SEED,SYSTEM_SEED
OFF-0072,Azad Chander,SUB_INSPECTOR,KSP-10-0072,Chitradurga Police Station 2,42963000000035021,true,INVESTIGATOR,2026-07-15 14:36:44,2026-07-15 14:36:44,SYSTEM_SEED,SYSTEM_SEED
OFF-0073,Ladli Purohit,DEPUTY_SUPERINTENDENT,KSP-HQ-0073,State Police HQ,,true,ANALYST,2026-07-15 14:36:44,2026-07-15 14:36:44,SYSTEM_SEED,SYSTEM_SEED
OFF-0074,Daksh Andra,DEPUTY_SUPERINTENDENT,KSP-HQ-0074,State Police HQ,,true,ANALYST,2026-07-15 14:36:44,2026-07-15 14:36:44,SYSTEM_SEED,SYSTEM_SEED
OFF-0075,Fitan Tata,INSPECTOR,KSP-13-0075,Dharwad Police Station 2,42963000000035024,true,INVESTIGATOR,2026-07-15 14:36:44,2026-07-15 14:36:44,SYSTEM_SEED,SYSTEM_SEED
OFF-0076,Garima Chandran,INSPECTOR,KSP-14-0076,Gadag Police Station 5,42963000000035025,true,INVESTIGATOR,2026-07-15 14:36:44,2026-07-15 14:36:44,SYSTEM_SEED,SYSTEM_SEED
OFF-0077,Gangamma Kulkarni,DEPUTY_SUPERINTENDENT,KSP-15-0077,Hassan Police Station 2,42963000000035026,true,INVESTIGATOR,2026-07-15 14:36:44,2026-07-15 14:36:44,SYSTEM_SEED,SYSTEM_SEED
OFF-0078,Nagaraj Naik,SUB_INSPECTOR,KSP-16-0078,Haveri Police Station 1,42963000000035027,true,INVESTIGATOR,2026-07-15 14:36:44,2026-07-15 14:36:44,SYSTEM_SEED,SYSTEM_SEED
OFF-0079,Victor Kakar,INSPECTOR,KSP-HQ-0079,State Police HQ,,true,POLICYMAKER,2026-07-15 14:36:44,2026-07-15 14:36:44,SYSTEM_SEED,SYSTEM_SEED
OFF-0080,Anika Batra,INSPECTOR,KSP-18-0080,Kodagu Police Station 1,42963000000035029,true,INVESTIGATOR,2026-07-15 14:36:44,2026-07-15 14:36:44,SYSTEM_SEED,SYSTEM_SEED
OFF-0081,Lakshmamma Kulkarni,DEPUTY_SUPERINTENDENT,KSP-HQ-0081,State Police HQ,,true,POLICYMAKER,2026-07-15 14:36:44,2026-07-15 14:36:44,SYSTEM_SEED,SYSTEM_SEED
OFF-0082,Avni Bali,INSPECTOR,KSP-20-0082,Koppal Police Station 4,42963000000035031,true,INVESTIGATOR,2026-07-15 14:36:44,2026-07-15 14:36:44,SYSTEM_SEED,SYSTEM_SEED
OFF-0083,Divya Babu,DEPUTY_SUPERINTENDENT,KSP-21-0083,Mandya Police Station 4,42963000000035032,true,INVESTIGATOR,2026-07-15 14:36:44,2026-07-15 14:36:44,SYSTEM_SEED,SYSTEM_SEED
OFF-0084,Raghavendra Reddy,SUB_INSPECTOR,KSP-22-0084,Mysuru Police Station 5,42963000000035033,true,INVESTIGATOR,2026-07-15 14:36:44,2026-07-15 14:36:44,SYSTEM_SEED,SYSTEM_SEED
OFF-0085,Maanas Rao,INSPECTOR,KSP-23-0085,Raichur Police Station 5,42963000000035034,true,INVESTIGATOR,2026-07-15 14:36:44,2026-07-15 14:36:44,SYSTEM_SEED,SYSTEM_SEED
OFF-0086,Sujathamma Achar,CIRCLE_INSPECTOR,KSP-HQ-0086,State Police HQ,,true,ANALYST,2026-07-15 14:36:44,2026-07-15 14:36:44,SYSTEM_SEED,SYSTEM_SEED
OFF-0087,Chandani Gaba,DEPUTY_SUPERINTENDENT,KSP-25-0087,Shivamogga Police Station 3,42963000000035036,true,INVESTIGATOR,2026-07-15 14:36:44,2026-07-15 14:36:44,SYSTEM_SEED,SYSTEM_SEED
OFF-0088,Pushpalatha Urs,SUB_INSPECTOR,KSP-HQ-0088,State Police HQ,,true,ANALYST,2026-07-15 14:36:44,2026-07-15 14:36:44,SYSTEM_SEED,SYSTEM_SEED
OFF-0089,Lopa Zachariah,CIRCLE_INSPECTOR,KSP-HQ-0089,State Police HQ,,true,ANALYST,2026-07-15 14:36:44,2026-07-15 14:36:44,SYSTEM_SEED,SYSTEM_SEED
OFF-0090,Leena Dey,SUB_INSPECTOR,KSP-28-0090,Uttara Kannada Police Station 2,42963000000035039,true,INVESTIGATOR,2026-07-15 14:36:44,2026-07-15 14:36:44,SYSTEM_SEED,SYSTEM_SEED
OFF-0091,Xiti Pal,SUB_INSPECTOR,KSP-HQ-0091,State Police HQ,,true,ANALYST,2026-07-15 14:36:44,2026-07-15 14:36:44,SYSTEM_SEED,SYSTEM_SEED
OFF-0092,Guneet Sarkar,CIRCLE_INSPECTOR,KSP-30-0092,Yadgir Police Station 5,42963000000035041,true,INVESTIGATOR,2026-07-15 14:36:44,2026-07-15 14:36:44,SYSTEM_SEED,SYSTEM_SEED
OFF-0093,Bhagyalakshmi Bhat,SUB_INSPECTOR,KSP-31-0093,Vijayanagara Police Station 4,42963000000035042,true,SUPERVISOR,2026-07-15 14:36:44,2026-07-15 14:36:44,SYSTEM_SEED,SYSTEM_SEED
OFF-0094,Faqid Oak,DEPUTY_SUPERINTENDENT,KSP-HQ-0094,State Police HQ,,true,SUPERVISOR,2026-07-15 14:36:44,2026-07-15 14:36:44,SYSTEM_SEED,SYSTEM_SEED
OFF-0095,Eta Balan,DEPUTY_SUPERINTENDENT,KSP-HQ-0095,State Police HQ,,true,POLICYMAKER,2026-07-15 14:36:44,2026-07-15 14:36:44,SYSTEM_SEED,SYSTEM_SEED
OFF-0096,Shravya Swaminathan,CIRCLE_INSPECTOR,KSP-03-0096,Belagavi Police Station 3,42963000000035014,true,INVESTIGATOR,2026-07-15 14:36:44,2026-07-15 14:36:44,SYSTEM_SEED,SYSTEM_SEED
OFF-0097,Yashodamma Urs,CIRCLE_INSPECTOR,KSP-04-0097,Bengaluru Rural Police Station 5,42963000000035015,true,INVESTIGATOR,2026-07-15 14:36:44,2026-07-15 14:36:44,SYSTEM_SEED,SYSTEM_SEED
OFF-0098,Pushpalatha Achar,INSPECTOR,KSP-05-0098,Bengaluru Urban Police Station 5,42963000000035016,true,INVESTIGATOR,2026-07-15 14:36:44,2026-07-15 14:36:44,SYSTEM_SEED,SYSTEM_SEED
OFF-0099,Yallappa Setty,SUB_INSPECTOR,KSP-HQ-0099,State Police HQ,,true,SUPERVISOR,2026-07-15 14:36:44,2026-07-15 14:36:44,SYSTEM_SEED,SYSTEM_SEED
OFF-0100,Ishani Prashad,INSPECTOR,KSP-07-0100,Chamarajanagar Police Station 5,42963000000035018,true,INVESTIGATOR,2026-07-15 14:36:44,2026-07-15 14:36:44,SYSTEM_SEED,SYSTEM_SEED
OFF-0101,Veeranna Shetty,INSPECTOR,KSP-HQ-0101,State Police HQ,,true,SUPERVISOR,2026-07-15 14:36:44,2026-07-15 14:36:44,SYSTEM_SEED,SYSTEM_SEED
OFF-0102,Thimmaiah Gowda,SUB_INSPECTOR,KSP-09-0102,Chikkamagaluru Police Station 5,42963000000035020,true,INVESTIGATOR,2026-07-15 14:36:44,2026-07-15 14:36:44,SYSTEM_SEED,SYSTEM_SEED
OFF-0103,Vasanthamma Urs,INSPECTOR,KSP-10-0103,Chitradurga Police Station 4,42963000000035021,true,INVESTIGATOR,2026-07-15 14:36:44,2026-07-15 14:36:44,SYSTEM_SEED,SYSTEM_SEED
OFF-0104,Raghavendra Shetty,INSPECTOR,KSP-HQ-0104,State Police HQ,,true,ANALYST,2026-07-15 14:36:44,2026-07-15 14:36:44,SYSTEM_SEED,SYSTEM_SEED
OFF-0105,Shanthakumari Kulkarni,SUB_INSPECTOR,KSP-12-0105,Davanagere Police Station 3,42963000000035023,true,INVESTIGATOR,2026-07-15 14:36:44,2026-07-15 14:36:44,SYSTEM_SEED,SYSTEM_SEED
OFF-0106,Quincy Rai,INSPECTOR,KSP-13-0106,Dharwad Police Station 5,42963000000035024,true,INVESTIGATOR,2026-07-15 14:36:44,2026-07-15 14:36:44,SYSTEM_SEED,SYSTEM_SEED
OFF-0107,Chakrika Koshy,INSPECTOR,KSP-14-0107,Gadag Police Station 4,42963000000035025,true,INVESTIGATOR,2026-07-15 14:36:44,2026-07-15 14:36:44,SYSTEM_SEED,SYSTEM_SEED
OFF-0108,Fitan Loyal,DEPUTY_SUPERINTENDENT,KSP-HQ-0108,State Police HQ,,true,POLICYMAKER,2026-07-15 14:36:44,2026-07-15 14:36:44,SYSTEM_SEED,SYSTEM_SEED
OFF-0109,Nagaveni Urs,INSPECTOR,KSP-16-0109,Haveri Police Station 2,42963000000035027,true,INVESTIGATOR,2026-07-15 14:36:44,2026-07-15 14:36:44,SYSTEM_SEED,SYSTEM_SEED
OFF-0110,Lajita Dube,CIRCLE_INSPECTOR,KSP-17-0110,Kalaburagi Police Station 1,42963000000035028,true,SUPERVISOR,2026-07-15 14:36:44,2026-07-15 14:36:44,SYSTEM_SEED,SYSTEM_SEED
OFF-0111,Edhitha Patel,SUB_INSPECTOR,KSP-18-0111,Kodagu Police Station 1,42963000000035029,true,INVESTIGATOR,2026-07-15 14:36:44,2026-07-15 14:36:44,SYSTEM_SEED,SYSTEM_SEED
OFF-0112,Kaveri Devadiga,CIRCLE_INSPECTOR,KSP-19-0112,Kolar Police Station 4,42963000000035030,true,INVESTIGATOR,2026-07-15 14:36:44,2026-07-15 14:36:44,SYSTEM_SEED,SYSTEM_SEED
OFF-0113,Gavin Ahluwalia,INSPECTOR,KSP-20-0113,Koppal Police Station 4,42963000000035031,true,INVESTIGATOR,2026-07-15 14:36:44,2026-07-15 14:36:44,SYSTEM_SEED,SYSTEM_SEED
OFF-0114,Sai Parsa,DEPUTY_SUPERINTENDENT,KSP-21-0114,Mandya Police Station 4,42963000000035032,true,INVESTIGATOR,2026-07-15 14:36:44,2026-07-15 14:36:44,SYSTEM_SEED,SYSTEM_SEED
OFF-0115,Shanthakumari Kulkarni,DEPUTY_SUPERINTENDENT,KSP-HQ-0115,State Police HQ,,true,ANALYST,2026-07-15 14:36:44,2026-07-15 14:36:44,SYSTEM_SEED,SYSTEM_SEED
OFF-0116,Nagaveni Reddy,CIRCLE_INSPECTOR,KSP-23-0116,Raichur Police Station 5,42963000000035034,true,INVESTIGATOR,2026-07-15 14:36:44,2026-07-15 14:36:44,SYSTEM_SEED,SYSTEM_SEED
OFF-0117,Harsh Deo,SUB_INSPECTOR,KSP-24-0117,Ramanagara Police Station 1,42963000000035035,true,INVESTIGATOR,2026-07-15 14:36:44,2026-07-15 14:36:44,SYSTEM_SEED,SYSTEM_SEED
OFF-0118,Rachit Sankar,CIRCLE_INSPECTOR,KSP-25-0118,Shivamogga Police Station 4,42963000000035036,true,INVESTIGATOR,2026-07-15 14:36:44,2026-07-15 14:36:44,SYSTEM_SEED,SYSTEM_SEED
OFF-0119,Yauvani Reddy,CIRCLE_INSPECTOR,KSP-26-0119,Tumakuru Police Station 3,42963000000035037,true,INVESTIGATOR,2026-07-15 14:36:44,2026-07-15 14:36:44,SYSTEM_SEED,SYSTEM_SEED
OFF-0120,Lokesh Shetty,DEPUTY_SUPERINTENDENT,KSP-HQ-0120,State Police HQ,,true,ANALYST,2026-07-15 14:36:44,2026-07-15 14:36:44,SYSTEM_SEED,SYSTEM_SEED
