fir_id,fir_number,district_id,police_station,date_filed,date_of_incident,crime_type,legal_code,sections_cited,status,narrative_text,modus_operandi,event_context,investigation_stage,created_at,updated_at,created_by,updated_by
FIR-000011,01/2021/000011,42963000000035012,Bagalkot Police Station 4,2021-06-01,2021-05-30 00:00:00,Fraud / cheating,IPC,"420,66C/66D (IT Act)",OPEN,"On 2021-06-01, at approximately 03:00 hours, at Agricultural Field, Bagalkot Outskirts in Bagalkot district, Sureshgowda Devadiga reported that the accused reportedly misrepresented facts to obtain property, causing loss and distress to the complainant. The identity of the accused remains unknown at this stage; local inquiries are being conducted. Relevant facts of the case continue to be verified as the investigation proceeds. A witness present at the scene has been recorded. This FIR was registered on 2021-06-01 at Bagalkot Police Station 4.",the accused reportedly misrepresented facts to obtain property,MONSOON_SEASON,FIR_REGISTERED,2026-07-15 14:36:44,2026-07-15 14:36:44,SYSTEM_SEED,SYSTEM_SEED
FIR-000012,01/2021/000012,42963000000035012,Bagalkot Police Station 3,2021-06-23,2021-06-21 00:00:00,Assault / hurt,IPC,394,CHARGESHEETED,"On 2021-06-23, at approximately 06:15 hours, at Bagalkot Bus Stand in Bagalkot district, Charvi Sharaf reported that the accused reportedly used force against the complainant, causing loss and distress to the complainant. The complainant was unable to identify the accused; identification efforts are continuing. The matter is being examined further as part of the ongoing investigation. Statements from persons nearby at the time are being recorded. This FIR was registered on 2021-06-23 at Bagalkot Police Station 3.",the accused reportedly used force against the complainant,NONE,UNDER_TRIAL,2026-07-15 14:36:44,2026-07-15 14:36:44,SYSTEM_SEED,SYSTEM_SEED
FIR-000013,01/2021/000013,42963000000035012,Bagalkot Police Station 5,2021-07-25,2021-07-22 00:00:00,Fraud / cheating,IPC,406,CHARGESHEETED,"On 2021-07-25, at approximately 00:45 hours, at Highway NH-48 near Bagalkot in Bagalkot district, Jayamma Devadiga reported that the accused reportedly misrepresented facts to obtain property, causing loss and distress to the complainant. The identity of the accused remains unknown at this stage; local inquiries are being conducted. Additional facts surrounding the incident are being ascertained by investigating officers. Case registered on 2021-07-25 at Bagalkot Police Station 5.",the accused reportedly misrepresented facts to obtain property,NONE,UNDER_TRIAL,2026-07-15 14:36:44,2026-07-15 14:36:44,SYSTEM_SEED,SYSTEM_SEED
FIR-000014,01/2021/000014,42963000000035012,Bagalkot Police Station 2,2021-07-18,2021-07-17 00:00:00,Vehicle theft / snatching,IPC,"379,411",UNDER_INVESTIGATION,"On 2021-07-18, at approximately 18:00 hours, at Bagalkot Extension in Bagalkot district, Pranit Naidu reported that the vehicle was reported missing from where it was parked, causing loss and distress to the complainant. The complainant was unable to identify the accused; identification efforts are continuing. Further details of the incident are being verified during investigation. Statements from persons nearby at the time are being recorded. This FIR was registered on 2021-07-18 at Bagalkot Police Station 2.",the accused reportedly snatched the item and fled on a two-wheeler,NONE,STATEMENT_RECORDING,2026-07-15 14:36:44,2026-07-15 14:36:44,SYSTEM_SEED,SYSTEM_SEED
FIR-000015,01/2021/000015,42963000000035012,Bagalkot Police Station 1,2021-08-16,2021-08-16 00:00:00,Theft,IPC,379,OPEN,"On 2021-08-16, at approximately 12:30 hours, at Near Bagalkot Government School in Bagalkot district, Baghyawati Gour reported that the accused reportedly slipped away with the belongings unnoticed, causing loss and distress to the complainant. The accused, identified as Lohit Krishna, was reportedly seen in the vicinity around the time of the incident and is stated to be known to the complainant. Further details of the incident are being verified during investigation. Formal registration of this case took place on 2021-08-16 at Bagalkot Police Station 1.",the accused reportedly slipped away with the belongings unnoticed,NONE,FIR_REGISTERED,2026-07-15 14:36:44,2026-07-15 14:36:44,SYSTEM_SEED,SYSTEM_SEED
FIR-000016,01/2021/000016,42963000000035012,Bagalkot Police Station 5,2021-08-18,2021-08-15 00:00:00,Assault / hurt,IPC,307,CHARGESHEETED,"On 2021-08-18, at approximately 15:15 hours, at Near Bagalkot Government School in Bagalkot district, Lakshmamma Bhat reported that the accused reportedly used force against the complainant, causing loss and distress to the complainant. The accused, identified as Siddalingaiah Hegde, was reportedly seen in the vicinity around the time of the incident and is stated to be known to the complainant. The matter is being examined further as part of the ongoing investigation. A witness present at the scene has been recorded. FIR registered on 2021-08-18 at Bagalkot Police Station 5.",the accused reportedly used force against the complainant,NONE,CHARGESHEET_FILED,2026-07-15 14:36:44,2026-07-15 14:36:44,SYSTEM_SEED,SYSTEM_SEED
FIR-000017,01/2021/000017,42963000000035012,Bagalkot Police Station 2,2021-09-11,2021-09-07 00:00:00,Domestic violence / 498A,IPC,304B,OPEN,"On 2021-09-11, at approximately 03:45 hours, at Bagalkot Commercial Complex in Bagalkot district, Simon Mitra reported that the complainant alleged mistreatment by the accused's relatives, causing loss and distress to the complainant. The accused, identified as Azad Mahal, was reportedly seen in the vicinity around the time of the incident and is stated to be known to the complainant. The case is being investigated further to establish the complete sequence of events. A witness present at the scene has been recorded. This FIR was registered on 2021-09-11 at Bagalkot Police Station 2.",the complainant reported repeated cruelty over dowry demands,NONE,FIR_REGISTERED,2026-07-15 14:36:44,2026-07-15 14:36:44,SYSTEM_SEED,SYSTEM_SEED
FIR-000018,01/2021/000018,42963000000035012,Bagalkot Police Station 5,2021-09-20,2021-09-18 00:00:00,Other,IPC,"427,436",OPEN,"On 2021-09-20, at approximately 15:00 hours, at Bagalkot Bus Stand in Bagalkot district, Suhani Date reported that the accused was reportedly involved in the disturbance described, causing loss and distress to the complainant. The accused, identified as Indrajit Narayanan, was reportedly seen in the vicinity around the time of the incident and is stated to be known to the complainant. Further details of the incident are being verified during investigation. The complaint was formally registered on 2021-09-20 at Bagalkot Police Station 5.",the incident was reported following a disturbance at the location,DASARA,FIR_REGISTERED,2026-07-15 14:36:44,2026-07-15 14:36:44,SYSTEM_SEED,SYSTEM_SEED
FIR-000019,01/2021/000019,42963000000035012,Bagalkot Police Station 3,2021-10-26,2021-10-22 00:00:00,Theft,IPC,379,CLOSED,"On 2021-10-26, at approximately 12:45 hours, at Bagalkot College Road in Bagalkot district, Harish Kulkarni reported that the accused allegedly took the property without the owner's consent, causing loss and distress to the complainant. The accused is presently unidentified; efforts are underway to establish identity. Investigation into the circumstances of the case is currently in progress. FIR registered on 2021-10-26 at Bagalkot Police Station 3.",the item was found missing after the accused was seen nearby,NONE,CASE_CLOSED_MEDIATED,2026-07-15 14:36:44,2026-07-15 14:36:44,SYSTEM_SEED,SYSTEM_SEED
FIR-000020,01/2021/000020,42963000000035012,Bagalkot Police Station 5,2021-10-04,2021-09-30 00:00:00,Theft,IPC,379,UNDER_INVESTIGATION,"On 2021-10-04, at approximately 06:45 hours, at Farmland near Bagalkot in Bagalkot district, Yatin Rao reported that the item was found missing after the accused was seen nearby, causing loss and distress to the complainant. The accused, identified as Falak Warrior, was reportedly seen in the vicinity around the time of the incident and is stated to be known to the complainant. Relevant facts of the case continue to be verified as the investigation proceeds. This FIR was registered on 2021-10-04 at Bagalkot Police Station 5.",the accused allegedly took the property without the owner's consent,HARVEST_SEASON,EVIDENCE_COLLECTION,2026-07-15 14:36:44,2026-07-15 14:36:44,SYSTEM_SEED,SYSTEM_SEED
FIR-000021,01/2021/000021,42963000000035012,Bagalkot Police Station 3,2021-11-05,2021-11-02 00:00:00,Vehicle theft / snatching,IPC,"379,356",CLOSED,"On 2021-11-05, at approximately 18:45 hours, at Bagalkot Commercial Complex in Bagalkot district, Divya Shanker reported that the vehicle was reported missing from where it was parked, causing loss and distress to the complainant. The accused, identified as Ayush Rajagopalan, was reportedly seen in the vicinity around the time of the incident and is stated to be known to the complainant. The matter is being examined further as part of the ongoing investigation. FIR registered on 2021-11-05 at Bagalkot Police Station 3.",the vehicle was reported missing from where it was parked,NONE,CASE_CLOSED_MEDIATED,2026-07-15 14:36:44,2026-07-15 14:36:44,SYSTEM_SEED,SYSTEM_SEED
FIR-000022,01/2021/000022,42963000000035012,Bagalkot Police Station 5,2021-11-07,2021-11-02 00:00:00,Theft,IPC,379,UNDER_INVESTIGATION,"On 2021-11-07, at approximately 04:00 hours, at ATM Vicinity, Bagalkot Main Road in Bagalkot district, Jagadish Achar reported that the item was found missing after the accused was seen nearby, causing loss and distress to the complainant. The accused, identified as Shivakumar Gowda, was reportedly seen in the vicinity around the time of the incident and is stated to be known to the complainant. Additional facts surrounding the incident are being ascertained by investigating officers. The complaint was formally registered on 2021-11-07 at Bagalkot Police Station 5.",the item was found missing after the accused was seen nearby,DEEPAVALI,EVIDENCE_COLLECTION,2026-07-15 14:36:44,2026-07-15 14:36:44,SYSTEM_SEED,SYSTEM_SEED
FIR-000023,01/2021/000023,42963000000035012,Bagalkot Police Station 5,2021-12-17,2021-12-12 00:00:00,Assault / hurt,IPC,353,OPEN,"On 2021-12-17, at approximately 11:15 hours, at Ring Road, Bagalkot in Bagalkot district, Thimmakka Setty reported that the accused allegedly assaulted the complainant following an altercation, causing loss and distress to the complainant. The identity of the accused remains unknown at this stage; local inquiries are being conducted. Further details of the incident are being verified during investigation. FIR registered on 2021-12-17 at Bagalkot Police Station 5.",the accused allegedly assaulted the complainant following an altercation,HARVEST_SEASON,FIR_REGISTERED,2026-07-15 14:36:44,2026-07-15 14:36:44,SYSTEM_SEED,SYSTEM_SEED
FIR-000024,01/2021/000024,42963000000035012,Bagalkot Police Station 5,2021-12-04,2021-12-03 00:00:00,Domestic violence / 498A,IPC,304B,CLOSED,"On 2021-12-04, at approximately 01:00 hours, at Main Market Road, Bagalkot in Bagalkot district, Wishi Radhakrishnan reported that the complainant reported repeated cruelty over dowry demands, causing loss and distress to the complainant. The complainant was unable to identify the accused; identification efforts are continuing. Relevant facts of the case continue to be verified as the investigation proceeds. This FIR was registered on 2021-12-04 at Bagalkot Police Station 5.",the complainant alleged sustained harassment by family members,NONE,CASE_CLOSED_MEDIATED,2026-07-15 14:36:44,2026-07-15 14:36:44,SYSTEM_SEED,SYSTEM_SEED
FIR-000025,01/2022/000025,42963000000035012,Bagalkot Police Station 2,2022-01-05,2022-01-05 00:00:00,Vehicle theft / snatching,IPC,"379,411",CHARGESHEETED,"On 2022-01-05, at approximately 20:30 hours, at Bagalkot College Road in Bagalkot district, Nicholas Mall reported that the accused reportedly snatched the item and fled on a two-wheeler, causing loss and distress to the complainant. The accused, identified as Puttaswamy Achar, was reportedly seen in the vicinity around the time of the incident and is stated to be known to the complainant. Additional facts surrounding the incident are being ascertained by investigating officers. The complaint was formally registered on 2022-01-05 at Bagalkot Police Station 2.",the vehicle was reported missing from where it was parked,NONE,CHARGESHEET_FILED,2026-07-15 14:36:44,2026-07-15 14:36:44,SYSTEM_SEED,SYSTEM_SEED
FIR-000026,01/2022/000026,42963000000035012,Bagalkot Police Station 4,2022-01-27,2022-01-24 00:00:00,Vehicle theft / snatching,IPC,"379,356",CHARGESHEETED,"On 2022-01-27, at approximately 17:15 hours, at Main Market Road, Bagalkot in Bagalkot district, Jyoti Sethi reported that the vehicle was reported missing from where it was parked, causing loss and distress to the complainant. The accused, identified as Rathnamma Reddy, was reportedly seen in the vicinity around the time of the incident and is stated to be known to the complainant. The matter is being examined further as part of the ongoing investigation. The complaint was formally registered on 2022-01-27 at Bagalkot Police Station 4.",the accused reportedly snatched the item and fled on a two-wheeler,NEW_YEAR,UNDER_TRIAL,2026-07-15 14:36:44,2026-07-15 14:36:44,SYSTEM_SEED,SYSTEM_SEED
FIR-000027,01/2022/000027,42963000000035012,Bagalkot Police Station 2,2022-02-03,2022-01-31 00:00:00,Vehicle theft / snatching,IPC,"379,411",UNDER_INVESTIGATION,"On 2022-02-03, at approximately 22:45 hours, at Farmland near Bagalkot in Bagalkot district, William Kala reported that the vehicle was allegedly driven away by the accused, causing loss and distress to the complainant. The accused, identified as Maanas Nigam, was reportedly seen in the vicinity around the time of the incident and is stated to be known to the complainant. Investigation into the circumstances of the case is currently in progress. Statements from persons nearby at the time are being recorded. The complaint was formally registered on 2022-02-03 at Bagalkot Police Station 2.",the vehicle was reported missing from where it was parked,NONE,EVIDENCE_COLLECTION,2026-07-15 14:36:44,2026-07-15 14:36:44,SYSTEM_SEED,SYSTEM_SEED
FIR-000028,01/2022/000028,42963000000035012,Bagalkot Police Station 4,2022-02-27,2022-02-22 00:00:00,Fraud / cheating,IPC,"420,66C/66D (IT Act)",CHARGESHEETED,"On 2022-02-27, at approximately 16:15 hours, at Bagalkot Extension in Bagalkot district, Lokesh Reddy reported that the accused allegedly induced the complainant to part with money under false pretenses, causing loss and distress to the complainant. The accused, identified as Shanthakumari Devadiga, was reportedly seen in the vicinity around the time of the incident and is stated to be known to the complainant. Relevant facts of the case continue to be verified as the investigation proceeds. Case registered on 2022-02-27 at Bagalkot Police Station 4.",the accused allegedly induced the complainant to part with money under false pretenses,NONE,CHARGESHEET_FILED,2026-07-15 14:36:44,2026-07-15 14:36:44,SYSTEM_SEED,SYSTEM_SEED
FIR-000029,01/2022/000029,42963000000035012,Bagalkot Police Station 3,2022-03-24,2022-03-19 00:00:00,Fraud / cheating,IPC,406,OPEN,"On 2022-03-24, at approximately 04:30 hours, at Bagalkot Junction in Bagalkot district, Jagrati Golla reported that the complainant reported being deceived into a fraudulent transaction, causing loss and distress to the complainant. The accused, identified as Chandrakala Reddy, was reportedly seen in the vicinity around the time of the incident and is stated to be known to the complainant. The case is being investigated further to establish the complete sequence of events. Statements from persons nearby at the time are being recorded. Formal registration of this case took place on 2022-03-24 at Bagalkot Police Station 3.",the accused reportedly misrepresented facts to obtain property,NONE,FIR_REGISTERED,2026-07-15 14:36:44,2026-07-15 14:36:44,SYSTEM_SEED,SYSTEM_SEED
FIR-000030,01/2022/000030,42963000000035012,Bagalkot Police Station 2,2022-03-21,2022-03-21 00:00:00,Burglary / housebreaking,IPC,"454,457",CHARGESHEETED,"On 2022-03-21, at approximately 07:00 hours, at Bagalkot College Road in Bagalkot district, Thimmaiah Achar reported that the premises were reportedly broken into while unoccupied, causing loss and distress to the complainant. The accused could not be identified by the complainant; the matter is under active inquiry. Investigation into the circumstances of the case is currently in progress. A witness present at the scene has been recorded. The complaint was formally registered on 2022-03-21 at Bagalkot Police Station 2.",the accused reportedly gained entry by breaking a window,NONE,UNDER_TRIAL,2026-07-15 14:36:44,2026-07-15 14:36:44,SYSTEM_SEED,SYSTEM_SEED
FIR-000031,01/2022/000031,42963000000035012,Bagalkot Police Station 5,2022-04-07,2022-04-02 00:00:00,Theft,IPC,379,CHARGESHEETED,"On 2022-04-07, at approximately 09:30 hours, at Bagalkot Commercial Complex in Bagalkot district, Fitan Nagy reported that the accused reportedly slipped away with the belongings unnoticed, causing loss and distress to the complainant. The accused, identified as Lila Kara, was reportedly seen in the vicinity around the time of the incident and is stated to be known to the complainant. Additional facts surrounding the incident are being ascertained by investigating officers. Formal registration of this case took place on 2022-04-07 at Bagalkot Police Station 5.",the item was found missing after the accused was seen nearby,UGADI,UNDER_TRIAL,2026-07-15 14:36:44,2026-07-15 14:36:44,SYSTEM_SEED,SYSTEM_SEED
FIR-000032,01/2022/000032,42963000000035012,Bagalkot Police Station 5,2022-04-21,2022-04-18 00:00:00,Robbery / dacoity,IPC,392,OPEN,"On 2022-04-21, at approximately 23:45 hours, at ATM Vicinity, Bagalkot Main Road in Bagalkot district, Ati Bahri reported that the accused reportedly threatened the complainant with a weapon during the robbery, causing loss and distress to the complainant. The identity of the accused remains unknown at this stage; local inquiries are being conducted. Relevant facts of the case continue to be verified as the investigation proceeds. Case registered on 2022-04-21 at Bagalkot Police Station 5.",the accused reportedly threatened the complainant with a weapon during the robbery,NONE,FIR_REGISTERED,2026-07-15 14:36:44,2026-07-15 14:36:44,SYSTEM_SEED,SYSTEM_SEED
FIR-000033,01/2022/000033,42963000000035012,Bagalkot Police Station 4,2022-05-09,2022-05-04 00:00:00,Robbery / dacoity,IPC,392,CHARGESHEETED,"On 2022-05-09, at approximately 02:15 hours, at Highway NH-48 near Bagalkot in Bagalkot district, Nagaraj Bhat reported that the accused allegedly used force to take the property by threat, causing loss and distress to the complainant. The accused, identified as Radhika Ramanathan, was reportedly seen in the vicinity around the time of the incident and is stated to be known to the complainant. The case is being investigated further to establish the complete sequence of events. A witness present at the scene has been recorded. Case registered on 2022-05-09 at Bagalkot Police Station 4.",the accused allegedly used force to take the property by threat,NONE,CHARGESHEET_FILED,2026-07-15 14:36:44,2026-07-15 14:36:44,SYSTEM_SEED,SYSTEM_SEED
FIR-000034,01/2022/000034,42963000000035012,Bagalkot Police Station 2,2022-05-29,2022-05-29 00:00:00,Theft,IPC,"379,380",UNDER_INVESTIGATION,"On 2022-05-29, at approximately 19:15 hours, at Bagalkot Shopping Complex in Bagalkot district, Gautam Savant reported that the accused allegedly took the property without the owner's consent, causing loss and distress to the complainant. The identity of the accused remains unknown at this stage; local inquiries are being conducted. Further details of the incident are being verified during investigation. A witness present at the scene has been recorded. This FIR was registered on 2022-05-29 at Bagalkot Police Station 2.",the accused allegedly took the property without the owner's consent,NONE,STATEMENT_RECORDING,2026-07-15 14:36:44,2026-07-15 14:36:44,SYSTEM_SEED,SYSTEM_SEED
FIR-000035,01/2022/000035,42963000000035012,Bagalkot Police Station 3,2022-06-24,2022-06-24 00:00:00,Assault / hurt,IPC,"325,326",OPEN,"On 2022-06-24, at approximately 06:30 hours, at ATM Vicinity, Bagalkot Main Road in Bagalkot district, Hardik Sunder reported that the accused allegedly assaulted the complainant following an altercation, causing loss and distress to the complainant. The accused, identified as Naksh Dewan, was reportedly seen in the vicinity around the time of the incident and is stated to be known to the complainant. The matter is being examined further as part of the ongoing investigation. Case registered on 2022-06-24 at Bagalkot Police Station 3.",the accused reportedly used force against the complainant,NONE,FIR_REGISTERED,2026-07-15 14:36:44,2026-07-15 14:36:44,SYSTEM_SEED,SYSTEM_SEED
FIR-000036,01/2022/000036,42963000000035012,Bagalkot Police Station 3,2022-06-05,2022-06-04 00:00:00,Fraud / cheating,IPC,"468,471",UNDER_INVESTIGATION,"On 2022-06-05, at approximately 05:15 hours, at ATM near Bagalkot Circle in Bagalkot district, Avi Mittal reported that the accused allegedly induced the complainant to part with money under false pretenses, causing loss and distress to the complainant. The accused, identified as Nikita Shetty, was reportedly seen in the vicinity around the time of the incident and is stated to be known to the complainant. The case is being investigated further to establish the complete sequence of events. This FIR was registered on 2022-06-05 at Bagalkot Police Station 3.",the accused reportedly misrepresented facts to obtain property,NONE,EVIDENCE_COLLECTION,2026-07-15 14:36:44,2026-07-15 14:36:44,SYSTEM_SEED,SYSTEM_SEED
FIR-000037,01/2022/000037,42963000000035012,Bagalkot Police Station 1,2022-07-27,2022-07-23 00:00:00,Domestic violence / 498A,IPC,498A,CHARGESHEETED,"On 2022-07-27, at approximately 10:00 hours, at Bagalkot Railway Station in Bagalkot district, Kaveri Bhat reported that the complainant alleged mistreatment by the accused's relatives, causing loss and distress to the complainant. The accused, identified as Jagdish Parmer, was reportedly seen in the vicinity around the time of the incident and is stated to be known to the complainant. Relevant facts of the case continue to be verified as the investigation proceeds. FIR registered on 2022-07-27 at Bagalkot Police Station 1.",the complainant alleged sustained harassment by family members,NONE,UNDER_TRIAL,2026-07-15 14:36:44,2026-07-15 14:36:44,SYSTEM_SEED,SYSTEM_SEED
FIR-000038,01/2022/000038,42963000000035012,Bagalkot Police Station 4,2022-07-15,2022-07-10 00:00:00,Assault / hurt,IPC,"325,326",CHARGESHEETED,"On 2022-07-15, at approximately 12:30 hours, at Bagalkot Railway Station in Bagalkot district, Patrick Ravi reported that the accused allegedly assaulted the complainant following an altercation, causing loss and distress to the complainant. The accused, identified as Nagaraj Achar, was reportedly seen in the vicinity around the time of the incident and is stated to be known to the complainant. Relevant facts of the case continue to be verified as the investigation proceeds. Case registered on 2022-07-15 at Bagalkot Police Station 4.",the accused reportedly used force against the complainant,MONSOON_SEASON,CHARGESHEET_FILED,2026-07-15 14:36:44,2026-07-15 14:36:44,SYSTEM_SEED,SYSTEM_SEED
FIR-000039,01/2022/000039,42963000000035012,Bagalkot Police Station 2,2022-08-30,2022-08-29 00:00:00,Burglary / housebreaking,IPC,"457,380",UNDER_INVESTIGATION,"On 2022-08-30, at approximately 14:45 hours, at Farmland near Bagalkot in Bagalkot district, Manjunath Naik reported that the accused reportedly gained entry by breaking a window, causing loss and distress to the complainant. The accused is presently unidentified; efforts are underway to establish identity. The matter is being examined further as part of the ongoing investigation. Formal registration of this case took place on 2022-08-30 at Bagalkot Police Station 2.",the premises were reportedly broken into while unoccupied,NONE,EVIDENCE_COLLECTION,2026-07-15 14:36:44,2026-07-15 14:36:44,SYSTEM_SEED,SYSTEM_SEED
