accused_id,name,age,age_group,gender,address_district_id,address_taluk,occupation,prior_offense_count,first_offense_date,last_offense_date,risk_score,risk_score_updated_at,created_at,updated_at,created_by,updated_by
ACC-00011,Vasatika Jhaveri,34,26-35,FEMALE,42963000000035035,Ramanagara Taluk HQ,"Scientist, research (life sciences)",1,2025-10-24,2025-10-24,,,2026-07-15 14:36:44,2026-07-15 14:36:44,SYSTEM_SEED,SYSTEM_SEED
ACC-00012,Owen Soni,18,18-25,MALE,42963000000035037,Tumakuru Rural,Chief Strategy Officer,1,2023-04-11,2023-04-11,,,2026-07-15 14:36:44,2026-07-15 14:36:44,SYSTEM_SEED,SYSTEM_SEED
ACC-00013,Sunandamma Kulkarni,27,26-35,FEMALE,42963000000035021,Chitradurga Taluk HQ,Primary school teacher,1,2023-12-04,2023-12-04,,,2026-07-15 14:36:44,2026-07-15 14:36:44,SYSTEM_SEED,SYSTEM_SEED
ACC-00014,Odika Bhavsar,25,18-25,FEMALE,42963000000035027,Haveri South,Hydrologist,1,2025-09-23,2025-09-23,,,2026-07-15 14:36:44,2026-07-15 14:36:44,SYSTEM_SEED,SYSTEM_SEED
ACC-00015,Dakshesh Bajaj,27,26-35,MALE,42963000000035015,Bengaluru Rural North,Lobbyist,1,2024-10-28,2024-10-28,,,2026-07-15 14:36:44,2026-07-15 14:36:44,SYSTEM_SEED,SYSTEM_SEED
ACC-00016,Fitan Kohli,42,36-45,MALE,42963000000035022,Dakshina Kannada East,"Scientist, clinical (histocompatibility and immunogenetics)",2,2022-03-23,2022-09-02,,,2026-07-15 14:36:44,2026-07-15 14:36:44,SYSTEM_SEED,SYSTEM_SEED
ACC-00017,Fariq Narayanan,62,56-65,MALE,42963000000035041,Yadgir Rural,"Surveyor, minerals",1,2025-04-23,2025-04-23,,,2026-07-15 14:36:44,2026-07-15 14:36:44,SYSTEM_SEED,SYSTEM_SEED
ACC-00018,Vihaan Kata,39,36-45,MALE,42963000000035016,Bengaluru Urban North,Ophthalmologist,1,2023-07-09,2023-07-09,,,2026-07-15 14:36:44,2026-07-15 14:36:44,SYSTEM_SEED,SYSTEM_SEED
ACC-00019,Girik Sankaran,42,36-45,MALE,42963000000035023,Davanagere West,Occupational hygienist,1,2021-07-19,2021-07-19,,,2026-07-15 14:36:44,2026-07-15 14:36:44,SYSTEM_SEED,SYSTEM_SEED
ACC-00020,Hardik Sengupta,49,46-55,MALE,42963000000035026,Hassan East,"Therapist, drama",1,2023-06-18,2023-06-18,,,2026-07-15 14:36:44,2026-07-15 14:36:44,SYSTEM_SEED,SYSTEM_SEED
ACC-00021,Saumya Agrawal,23,18-25,FEMALE,42963000000035028,Kalaburagi West,"Engineer, site",2,2021-11-17,2023-10-31,,,2026-07-15 14:36:44,2026-07-15 14:36:44,SYSTEM_SEED,SYSTEM_SEED
ACC-00022,Gopalakrishna Poojary,62,56-65,MALE,42963000000035035,Ramanagara South,"Engineer, land",1,2021-10-08,2021-10-08,,,2026-07-15 14:36:44,2026-07-15 14:36:44,SYSTEM_SEED,SYSTEM_SEED
ACC-00023,Bhavika Chaudry,18,18-25,FEMALE,42963000000035017,Bidar South,Software engineer,1,2023-11-24,2023-11-24,,,2026-07-15 14:36:44,2026-07-15 14:36:44,SYSTEM_SEED,SYSTEM_SEED
ACC-00024,Harish Gowda,53,46-55,MALE,42963000000035024,Dharwad South,"Embryologist, clinical",1,2024-04-10,2024-04-10,,,2026-07-15 14:36:44,2026-07-15 14:36:44,SYSTEM_SEED,SYSTEM_SEED
ACC-00025,Nicholas Hegde,41,36-45,MALE,42963000000035036,Shivamogga North,"Programmer, systems",1,2025-09-27,2025-09-27,,,2026-07-15 14:36:44,2026-07-15 14:36:44,SYSTEM_SEED,SYSTEM_SEED
ACC-00026,Karan Suri,36,36-45,MALE,42963000000035024,Dharwad West,"Secretary, company",1,2025-03-23,2025-03-23,,,2026-07-15 14:36:44,2026-07-15 14:36:44,SYSTEM_SEED,SYSTEM_SEED
ACC-00027,Rishi Ramanathan,44,36-45,MALE,42963000000035018,Chamarajanagar Taluk HQ,Theatre manager,1,2025-08-18,2025-08-18,,,2026-07-15 14:36:44,2026-07-15 14:36:44,SYSTEM_SEED,SYSTEM_SEED
ACC-00028,Owen Pandey,65,56-65,MALE,42963000000035016,Bengaluru Urban Rural,"Programmer, systems",1,2022-12-01,2022-12-01,,,2026-07-15 14:36:44,2026-07-15 14:36:44,SYSTEM_SEED,SYSTEM_SEED
ACC-00029,Shivakumar Rai,27,26-35,MALE,42963000000035022,Dakshina Kannada Taluk HQ,Waste management officer,1,2022-12-29,2022-12-29,,,2026-07-15 14:36:44,2026-07-15 14:36:44,SYSTEM_SEED,SYSTEM_SEED
ACC-00030,Neha Chad,62,56-65,FEMALE,42963000000035015,Bengaluru Rural East,Contractor,1,2023-09-22,2023-09-22,,,2026-07-15 14:36:44,2026-07-15 14:36:44,SYSTEM_SEED,SYSTEM_SEED
ACC-00031,Raghavendra Naik,56,56-65,MALE,42963000000035037,Tumakuru Taluk HQ,Intelligence analyst,2,2021-03-08,2025-10-18,,,2026-07-15 14:36:44,2026-07-15 14:36:44,SYSTEM_SEED,SYSTEM_SEED
ACC-00032,Jagdish Mody,33,26-35,MALE,42963000000035014,Belagavi East,Commercial horticulturist,1,2021-09-24,2021-09-24,,,2026-07-15 14:36:44,2026-07-15 14:36:44,SYSTEM_SEED,SYSTEM_SEED
ACC-00033,Rachit Dhaliwal,27,26-35,MALE,42963000000035033,Mysuru North,Sales promotion account executive,1,2022-07-15,2022-07-15,,,2026-07-15 14:36:44,2026-07-15 14:36:44,SYSTEM_SEED,SYSTEM_SEED
ACC-00034,Ubika Devi,65,56-65,FEMALE,42963000000035025,Gadag East,"Teacher, special educational needs",1,2024-07-10,2024-07-10,,,2026-07-15 14:36:44,2026-07-15 14:36:44,SYSTEM_SEED,SYSTEM_SEED
ACC-00035,Siddharth Grewal,44,36-45,MALE,42963000000035033,Mysuru Rural,"Radiographer, therapeutic",1,2025-09-26,2025-09-26,,,2026-07-15 14:36:44,2026-07-15 14:36:44,SYSTEM_SEED,SYSTEM_SEED
ACC-00036,Chandrashekar Nayak,62,56-65,MALE,42963000000035012,Bagalkot Taluk HQ,Soil scientist,1,2021-10-14,2021-10-14,,,2026-07-15 14:36:44,2026-07-15 14:36:44,SYSTEM_SEED,SYSTEM_SEED
ACC-00037,Fiyaz Suri,56,56-65,MALE,42963000000035033,Mysuru Taluk HQ,Homeopath,2,2023-03-28,2024-08-13,,,2026-07-15 14:36:44,2026-07-15 14:36:44,SYSTEM_SEED,SYSTEM_SEED
ACC-00038,Idika Murty,43,36-45,FEMALE,42963000000035036,Shivamogga East,"Production designer, theatre/television/film",2,2022-11-19,2025-07-01,,,2026-07-15 14:36:44,2026-07-15 14:36:44,SYSTEM_SEED,SYSTEM_SEED
ACC-00039,Yashodamma Bhat,53,46-55,FEMALE,42963000000035033,Mysuru South,Water quality scientist,1,2025-10-15,2025-10-15,,,2026-07-15 14:36:44,2026-07-15 14:36:44,SYSTEM_SEED,SYSTEM_SEED
ACC-00040,Praneel Andra,63,56-65,MALE,42963000000035018,Chamarajanagar South,Radio producer,2,2025-08-28,2025-12-31,,,2026-07-15 14:36:44,2026-07-15 14:36:44,SYSTEM_SEED,SYSTEM_SEED
ACC-00041,Gunbir Rajagopalan,23,18-25,MALE,42963000000035025,Gadag North,"Surveyor, planning and development",1,2025-05-20,2025-05-20,,,2026-07-15 14:36:44,2026-07-15 14:36:44,SYSTEM_SEED,SYSTEM_SEED
ACC-00042,Tara Swamy,65,56-65,FEMALE,42963000000035017,Bidar North,Pathologist,1,2025-08-07,2025-08-07,,,2026-07-15 14:36:44,2026-07-15 14:36:44,SYSTEM_SEED,SYSTEM_SEED
ACC-00043,Yash Ganesh,43,36-45,MALE,42963000000035016,Bengaluru Urban West,Charity fundraiser,2,2021-10-13,2025-11-11,,,2026-07-15 14:36:44,2026-07-15 14:36:44,SYSTEM_SEED,SYSTEM_SEED
ACC-00044,Imaran Master,56,56-65,MALE,42963000000035036,Shivamogga East,Amenity horticulturist,2,2021-12-20,2024-09-10,,,2026-07-15 14:36:44,2026-07-15 14:36:44,SYSTEM_SEED,SYSTEM_SEED
ACC-00045,Jeevika Yogi,48,46-55,FEMALE,42963000000035021,Chitradurga East,Homeopath,1,2024-05-15,2024-05-15,,,2026-07-15 14:36:44,2026-07-15 14:36:44,SYSTEM_SEED,SYSTEM_SEED
ACC-00046,Shivakumar Poojary,28,26-35,MALE,42963000000035014,Belagavi South,Dispensing optician,2,2023-03-22,2023-05-29,,,2026-07-15 14:36:44,2026-07-15 14:36:44,SYSTEM_SEED,SYSTEM_SEED
ACC-00047,Puttaswamy Gowda,24,18-25,MALE,42963000000035015,Bengaluru Rural North,"Programmer, systems",1,2023-07-14,2023-07-14,,,2026-07-15 14:36:44,2026-07-15 14:36:44,SYSTEM_SEED,SYSTEM_SEED
ACC-00048,Lakshmamma Achar,36,36-45,FEMALE,42963000000035016,Bengaluru Urban Taluk HQ,Systems developer,1,2025-12-30,2025-12-30,,,2026-07-15 14:36:44,2026-07-15 14:36:44,SYSTEM_SEED,SYSTEM_SEED
ACC-00049,Chandrashekar Poojary,37,36-45,MALE,42963000000035017,Bidar South,Research scientist (life sciences),2,2021-03-07,2025-11-20,,,2026-07-15 14:36:44,2026-07-15 14:36:44,SYSTEM_SEED,SYSTEM_SEED
ACC-00050,Deepa Loyal,23,18-25,FEMALE,42963000000035042,Vijayanagara West,Speech and language therapist,1,2022-11-05,2022-11-05,,,2026-07-15 14:36:44,2026-07-15 14:36:44,SYSTEM_SEED,SYSTEM_SEED
ACC-00051,Prakash Gowda,48,46-55,MALE,42963000000035013,Ballari South,Medical technical officer,1,2023-01-28,2023-01-28,,,2026-07-15 14:36:44,2026-07-15 14:36:44,SYSTEM_SEED,SYSTEM_SEED
ACC-00052,Thomas Kamdar,36,36-45,MALE,42963000000035041,Yadgir South,"Physicist, medical",1,2024-02-29,2024-02-29,,,2026-07-15 14:36:44,2026-07-15 14:36:44,SYSTEM_SEED,SYSTEM_SEED
ACC-00053,Jatin Mishra,43,36-45,MALE,42963000000035033,Mysuru Rural,Amenity horticulturist,2,2021-05-11,2022-01-19,,,2026-07-15 14:36:44,2026-07-15 14:36:44,SYSTEM_SEED,SYSTEM_SEED
ACC-00054,Karan Pall,61,56-65,MALE,42963000000035015,Bengaluru Rural Rural,Chartered loss adjuster,1,2025-11-20,2025-11-20,,,2026-07-15 14:36:44,2026-07-15 14:36:44,SYSTEM_SEED,SYSTEM_SEED
ACC-00055,Dhriti Khalsa,50,46-55,FEMALE,42963000000035015,Bengaluru Rural North,"Engineer, manufacturing systems",2,2022-07-08,2024-02-16,,,2026-07-15 14:36:44,2026-07-15 14:36:44,SYSTEM_SEED,SYSTEM_SEED
ACC-00056,Yashodamma Kulkarni,19,18-25,FEMALE,42963000000035028,Kalaburagi Taluk HQ,Theatre stage manager,1,2024-05-18,2024-05-18,,,2026-07-15 14:36:44,2026-07-15 14:36:44,SYSTEM_SEED,SYSTEM_SEED
ACC-00057,Upadhriti Gandhi,36,36-45,FEMALE,42963000000035016,Bengaluru Urban Taluk HQ,Warden/ranger,1,2023-08-28,2023-08-28,,,2026-07-15 14:36:44,2026-07-15 14:36:44,SYSTEM_SEED,SYSTEM_SEED
ACC-00058,Ishanvi Jhaveri,58,56-65,FEMALE,42963000000035015,Bengaluru Rural North,Barrister's clerk,1,2024-01-16,2024-01-16,,,2026-07-15 14:36:44,2026-07-15 14:36:44,SYSTEM_SEED,SYSTEM_SEED
ACC-00059,Logan Yohannan,61,56-65,MALE,42963000000035030,Kolar North,Dispensing optician,1,2021-02-10,2021-02-10,,,2026-07-15 14:36:44,2026-07-15 14:36:44,SYSTEM_SEED,SYSTEM_SEED
ACC-00060,Mugdha Mann,50,46-55,FEMALE,42963000000035025,Gadag Rural,"Teacher, primary school",1,2023-08-16,2023-08-16,,,2026-07-15 14:36:44,2026-07-15 14:36:44,SYSTEM_SEED,SYSTEM_SEED
ACC-00061,Jagadish Rai,51,46-55,MALE,42963000000035040,Vijayapura South,"Geologist, engineering",1,2023-12-08,2023-12-08,,,2026-07-15 14:36:44,2026-07-15 14:36:44,SYSTEM_SEED,SYSTEM_SEED
ACC-00062,Ekansh Sabharwal,41,36-45,MALE,42963000000035029,Kodagu Taluk HQ,Barrister's clerk,1,2022-09-03,2022-09-03,,,2026-07-15 14:36:44,2026-07-15 14:36:44,SYSTEM_SEED,SYSTEM_SEED
ACC-00063,Lokesh Achar,63,56-65,MALE,42963000000035033,Mysuru West,Health and safety inspector,1,2022-08-29,2022-08-29,,,2026-07-15 14:36:44,2026-07-15 14:36:44,SYSTEM_SEED,SYSTEM_SEED
ACC-00064,Dominic Krish,22,18-25,MALE,42963000000035041,Yadgir East,Dancer,1,2021-09-20,2021-09-20,,,2026-07-15 14:36:44,2026-07-15 14:36:44,SYSTEM_SEED,SYSTEM_SEED
ACC-00065,Prakash Bhat,24,18-25,MALE,42963000000035035,Ramanagara Taluk HQ,IT technical support officer,1,2022-03-19,2022-03-19,,,2026-07-15 14:36:44,2026-07-15 14:36:44,SYSTEM_SEED,SYSTEM_SEED
ACC-00066,Prakash Naik,49,46-55,MALE,42963000000035015,Bengaluru Rural Taluk HQ,Firefighter,1,2024-05-21,2024-05-21,,,2026-07-15 14:36:44,2026-07-15 14:36:44,SYSTEM_SEED,SYSTEM_SEED
ACC-00067,Gopalakrishna Naik,35,26-35,MALE,42963000000035027,Haveri Rural,"Nurse, learning disability",1,2023-09-24,2023-09-24,,,2026-07-15 14:36:44,2026-07-15 14:36:44,SYSTEM_SEED,SYSTEM_SEED
ACC-00068,Ekta Luthra,47,46-55,FEMALE,42963000000035018,Chamarajanagar South,Patent examiner,1,2024-09-11,2024-09-11,,,2026-07-15 14:36:44,2026-07-15 14:36:44,SYSTEM_SEED,SYSTEM_SEED
ACC-00069,Harish Achar,46,46-55,MALE,42963000000035030,Kolar East,Mining engineer,1,2022-03-27,2022-03-27,,,2026-07-15 14:36:44,2026-07-15 14:36:44,SYSTEM_SEED,SYSTEM_SEED
ACC-00070,Shivakumar Kulkarni,20,18-25,MALE,42963000000035022,Dakshina Kannada West,Production engineer,1,2024-08-19,2024-08-19,,,2026-07-15 14:36:44,2026-07-15 14:36:44,SYSTEM_SEED,SYSTEM_SEED
ACC-00071,Girijamma Rai,61,56-65,FEMALE,42963000000035016,Bengaluru Urban South,Call centre manager,1,2021-09-27,2021-09-27,,,2026-07-15 14:36:44,2026-07-15 14:36:44,SYSTEM_SEED,SYSTEM_SEED
ACC-00072,Saksham Varma,23,18-25,MALE,42963000000035032,Mandya South,Health physicist,2,2025-04-27,2025-08-21,,,2026-07-15 14:36:44,2026-07-15 14:36:44,SYSTEM_SEED,SYSTEM_SEED
ACC-00073,Utkarsh Sura,61,56-65,MALE,42963000000035013,Ballari Taluk HQ,Land,1,2025-06-08,2025-06-08,,,2026-07-15 14:36:44,2026-07-15 14:36:44,SYSTEM_SEED,SYSTEM_SEED
ACC-00074,Chakradhar Shanker,65,56-65,MALE,42963000000035034,Raichur West,Materials engineer,2,2024-02-10,2025-11-28,,,2026-07-15 14:36:44,2026-07-15 14:36:44,SYSTEM_SEED,SYSTEM_SEED
ACC-00075,Savitramma Naik,18,18-25,FEMALE,42963000000035016,Bengaluru Urban West,Biomedical scientist,1,2022-06-01,2022-06-01,,,2026-07-15 14:36:44,2026-07-15 14:36:44,SYSTEM_SEED,SYSTEM_SEED
ACC-00076,Sujathamma Nayak,43,36-45,FEMALE,42963000000035037,Tumakuru Taluk HQ,Social researcher,1,2022-08-03,2022-08-03,,,2026-07-15 14:36:44,2026-07-15 14:36:44,SYSTEM_SEED,SYSTEM_SEED
ACC-00077,Ikbal Sanghvi,40,36-45,MALE,42963000000035024,Dharwad East,"Engineer, mining",1,2022-01-05,2022-01-05,,,2026-07-15 14:36:44,2026-07-15 14:36:44,SYSTEM_SEED,SYSTEM_SEED
ACC-00078,Lipika Naidu,24,18-25,FEMALE,42963000000035014,Belagavi East,Herpetologist,1,2023-11-11,2023-11-11,,,2026-07-15 14:36:44,2026-07-15 14:36:44,SYSTEM_SEED,SYSTEM_SEED
ACC-00079,Puttaswamy Rai,45,36-45,MALE,42963000000035017,Bidar West,Leisure centre manager,2,2023-10-31,2025-06-20,,,2026-07-15 14:36:44,2026-07-15 14:36:44,SYSTEM_SEED,SYSTEM_SEED
ACC-00080,Xavier Oza,49,46-55,MALE,42963000000035017,Bidar Taluk HQ,Art therapist,1,2021-03-19,2021-03-19,,,2026-07-15 14:36:44,2026-07-15 14:36:44,SYSTEM_SEED,SYSTEM_SEED
ACC-00081,Chandran Sharaf,35,26-35,MALE,42963000000035024,Dharwad East,"Administrator, sports",1,2023-04-19,2023-04-19,,,2026-07-15 14:36:44,2026-07-15 14:36:44,SYSTEM_SEED,SYSTEM_SEED
ACC-00082,Chandrashekar Achar,27,26-35,MALE,42963000000035030,Kolar East,Company secretary,2,2023-08-15,2024-02-29,,,2026-07-15 14:36:44,2026-07-15 14:36:44,SYSTEM_SEED,SYSTEM_SEED
ACC-00083,Shivakumar Devadiga,21,18-25,MALE,42963000000035040,Vijayapura North,"Designer, industrial/product",2,2021-05-27,2023-09-21,,,2026-07-15 14:36:44,2026-07-15 14:36:44,SYSTEM_SEED,SYSTEM_SEED
ACC-00084,Shivakumar Shetty,21,18-25,MALE,42963000000035017,Bidar South,Prison officer,1,2023-06-30,2023-06-30,,,2026-07-15 14:36:44,2026-07-15 14:36:44,SYSTEM_SEED,SYSTEM_SEED
ACC-00085,Nagaraj Reddy,58,56-65,MALE,42963000000035016,Bengaluru Urban Taluk HQ,"Programmer, multimedia",1,2023-04-17,2023-04-17,,,2026-07-15 14:36:44,2026-07-15 14:36:44,SYSTEM_SEED,SYSTEM_SEED
ACC-00086,Upadhriti Jain,37,36-45,FEMALE,42963000000035037,Tumakuru East,Consulting civil engineer,1,2021-09-04,2021-09-04,,,2026-07-15 14:36:44,2026-07-15 14:36:44,SYSTEM_SEED,SYSTEM_SEED
ACC-00087,Fariq Mahal,51,46-55,MALE,42963000000035017,Bidar North,Chief Financial Officer,1,2021-07-28,2021-07-28,,,2026-07-15 14:36:44,2026-07-15 14:36:44,SYSTEM_SEED,SYSTEM_SEED
ACC-00088,Jeremiah Butala,21,18-25,MALE,42963000000035015,Bengaluru Rural South,Meteorologist,1,2025-06-24,2025-06-24,,,2026-07-15 14:36:44,2026-07-15 14:36:44,SYSTEM_SEED,SYSTEM_SEED
ACC-00089,Shivakumar Devadiga,37,36-45,MALE,42963000000035016,Bengaluru Urban East,Diagnostic radiographer,1,2025-03-08,2025-03-08,,,2026-07-15 14:36:44,2026-07-15 14:36:44,SYSTEM_SEED,SYSTEM_SEED
ACC-00090,Shanthakumari Rai,52,46-55,FEMALE,42963000000035032,Mandya Rural,Associate Professor,1,2021-12-17,2021-12-17,,,2026-07-15 14:36:44,2026-07-15 14:36:44,SYSTEM_SEED,SYSTEM_SEED
ACC-00091,Channabasappa Poojary,54,46-55,MALE,42963000000035022,Dakshina Kannada Taluk HQ,Occupational hygienist,1,2025-07-16,2025-07-16,,,2026-07-15 14:36:44,2026-07-15 14:36:44,SYSTEM_SEED,SYSTEM_SEED
ACC-00092,Jackson Sanghvi,64,56-65,MALE,42963000000035031,Koppal South,"Chemist, analytical",1,2023-04-19,2023-04-19,,,2026-07-15 14:36:44,2026-07-15 14:36:44,SYSTEM_SEED,SYSTEM_SEED
ACC-00093,Aadi Kala,60,56-65,MALE,42963000000035042,Vijayanagara Rural,Publishing rights manager,1,2023-11-21,2023-11-21,,,2026-07-15 14:36:44,2026-07-15 14:36:44,SYSTEM_SEED,SYSTEM_SEED
ACC-00094,Siddalingaiah Naik,65,56-65,MALE,42963000000035033,Mysuru East,Careers adviser,1,2025-01-19,2025-01-19,,,2026-07-15 14:36:44,2026-07-15 14:36:44,SYSTEM_SEED,SYSTEM_SEED
ACC-00095,Jeevika Venkataraman,38,36-45,FEMALE,42963000000035016,Bengaluru Urban East,"Producer, television/film/video",1,2023-08-17,2023-08-17,,,2026-07-15 14:36:44,2026-07-15 14:36:44,SYSTEM_SEED,SYSTEM_SEED
ACC-00096,Sujathamma Kulkarni,34,26-35,FEMALE,42963000000035025,Gadag North,Acupuncturist,1,2024-06-27,2024-06-27,,,2026-07-15 14:36:44,2026-07-15 14:36:44,SYSTEM_SEED,SYSTEM_SEED
ACC-00097,Onveer Dara,58,56-65,MALE,42963000000035024,Dharwad Taluk HQ,"Pharmacist, hospital",1,2022-07-21,2022-07-21,,,2026-07-15 14:36:44,2026-07-15 14:36:44,SYSTEM_SEED,SYSTEM_SEED
ACC-00098,William Bobal,20,18-25,MALE,42963000000035017,Bidar East,Estate manager/land agent,1,2023-10-02,2023-10-02,,,2026-07-15 14:36:44,2026-07-15 14:36:44,SYSTEM_SEED,SYSTEM_SEED
ACC-00099,Ravindranath Poojary,62,56-65,MALE,42963000000035026,Hassan South,Music therapist,2,2021-09-02,2021-12-13,,,2026-07-15 14:36:44,2026-07-15 14:36:44,SYSTEM_SEED,SYSTEM_SEED
ACC-00100,Charan Chauhan,31,26-35,MALE,42963000000035041,Yadgir West,Intelligence analyst,1,2022-08-18,2022-08-18,,,2026-07-15 14:36:44,2026-07-15 14:36:44,SYSTEM_SEED,SYSTEM_SEED
ACC-00101,Prakash Shetty,18,18-25,MALE,42963000000035022,Dakshina Kannada West,Mental health nurse,1,2025-07-10,2025-07-10,,,2026-07-15 14:36:44,2026-07-15 14:36:44,SYSTEM_SEED,SYSTEM_SEED
ACC-00102,Ekapad Raja,25,18-25,MALE,42963000000035032,Mandya East,Contracting civil engineer,1,2023-03-31,2023-03-31,,,2026-07-15 14:36:44,2026-07-15 14:36:44,SYSTEM_SEED,SYSTEM_SEED
ACC-00103,Vasanthamma Reddy,44,36-45,FEMALE,42963000000035023,Davanagere West,Customer service manager,1,2025-10-21,2025-10-21,,,2026-07-15 14:36:44,2026-07-15 14:36:44,SYSTEM_SEED,SYSTEM_SEED
ACC-00104,Shanthakumari Rai,39,36-45,FEMALE,42963000000035016,Bengaluru Urban North,Broadcast presenter,1,2021-01-03,2021-01-03,,,2026-07-15 14:36:44,2026-07-15 14:36:44,SYSTEM_SEED,SYSTEM_SEED
ACC-00105,Gayathri Sarraf,53,46-55,FEMALE,42963000000035028,Kalaburagi East,Make,1,2025-08-15,2025-08-15,,,2026-07-15 14:36:44,2026-07-15 14:36:44,SYSTEM_SEED,SYSTEM_SEED
ACC-00106,Faqid Sabharwal,36,36-45,MALE,42963000000035036,Shivamogga East,Warden/ranger,1,2025-02-01,2025-02-01,,,2026-07-15 14:36:44,2026-07-15 14:36:44,SYSTEM_SEED,SYSTEM_SEED
ACC-00107,Ikbal Chadha,58,56-65,MALE,42963000000035019,Chikballapur Taluk HQ,Chiropodist,1,2025-02-09,2025-02-09,,,2026-07-15 14:36:44,2026-07-15 14:36:44,SYSTEM_SEED,SYSTEM_SEED
ACC-00108,Akkamahadevi Achar,23,18-25,FEMALE,42963000000035035,Ramanagara East,Counselling psychologist,1,2023-09-11,2023-09-11,,,2026-07-15 14:36:44,2026-07-15 14:36:44,SYSTEM_SEED,SYSTEM_SEED
ACC-00109,Rehaan Panchal,24,18-25,MALE,42963000000035024,Dharwad West,"Pilot, airline",2,2023-09-05,2025-12-20,,,2026-07-15 14:36:44,2026-07-15 14:36:44,SYSTEM_SEED,SYSTEM_SEED
ACC-00110,Ekaraj Kota,24,18-25,MALE,42963000000035030,Kolar Taluk HQ,Health and safety inspector,1,2025-02-17,2025-02-17,,,2026-07-15 14:36:44,2026-07-15 14:36:44,SYSTEM_SEED,SYSTEM_SEED
ACC-00111,Jeet Mane,60,56-65,MALE,42963000000035020,Chikkamagaluru North,Aid worker,1,2023-12-13,2023-12-13,,,2026-07-15 14:36:44,2026-07-15 14:36:44,SYSTEM_SEED,SYSTEM_SEED
ACC-00112,Sureshgowda Hegde,47,46-55,MALE,42963000000035026,Hassan South,Illustrator,1,2023-08-22,2023-08-22,,,2026-07-15 14:36:44,2026-07-15 14:36:44,SYSTEM_SEED,SYSTEM_SEED
ACC-00113,Yochana Upadhyay,47,46-55,FEMALE,42963000000035023,Davanagere Rural,Energy engineer,2,2023-08-17,2024-10-27,,,2026-07-15 14:36:44,2026-07-15 14:36:44,SYSTEM_SEED,SYSTEM_SEED
ACC-00114,Neelima Bhagat,65,56-65,FEMALE,42963000000035022,Dakshina Kannada North,Film/video editor,1,2024-10-30,2024-10-30,,,2026-07-15 14:36:44,2026-07-15 14:36:44,SYSTEM_SEED,SYSTEM_SEED
ACC-00115,Sanya Chowdhury,50,46-55,FEMALE,42963000000035019,Chikballapur South,Financial adviser,1,2022-01-01,2022-01-01,,,2026-07-15 14:36:44,2026-07-15 14:36:44,SYSTEM_SEED,SYSTEM_SEED
ACC-00116,Bimala Wable,37,36-45,FEMALE,42963000000035036,Shivamogga East,"Administrator, charities/voluntary organisations",1,2025-10-18,2025-10-18,,,2026-07-15 14:36:44,2026-07-15 14:36:44,SYSTEM_SEED,SYSTEM_SEED
